,intVar1,intVar2,intVar3,intVar4
0,43,152,74,103
0,02-05-2022 19:16:40,368,8,116,190
0,02-05-2022 19:16:40,268,431,124,407
0,02-05-2022 19:16:40,195,211,296,110
0,02-05-2022 19:16:40,15,21,403,129
0,02-05-2022 19:16:40,230,52,240,498
0,02-05-2022 19:16:40,421,174,131,333
0,02-05-2022 19:16:40,270,166,215,313
0,02-05-2022 19:16:40,386,223,259,490
0,02-05-2022 19:16:40,170,426,3,333
0,02-05-2022 19:16:40,89,322,368,46
0,02-05-2022 19:16:40,64,361,429,462
0,02-05-2022 19:16:40,34,254,413,179
0,02-05-2022 19:16:40,118,79,365,352
0,02-05-2022 19:16:40,10,221,48,9
0,02-05-2022 19:16:40,1,143,215,245
0,02-05-2022 19:16:40,74,287,417,349
0,02-05-2022 19:16:40,224,418,340,255
0,02-05-2022 19:16:40,432,122,381,467
0,02-05-2022 19:16:40,10,313,460,43
0,02-05-2022 19:16:40,256,371,176,295
0,02-05-2022 19:16:40,194,168,268,28
0,02-05-2022 19:16:40,147,2,130,268
0,02-05-2022 19:16:40,296,68,430,96
0,02-05-2022 19:16:40,67,445,255,474
0,02-05-2022 19:16:40,457,2,127,122
0,02-05-2022 19:16:40,355,154,358,485
0,02-05-2022 19:16:40,166,417,78,154
0,02-05-2022 19:16:40,78,446,75,393
0,02-05-2022 19:16:40,20,209,44,87
0,02-05-2022 19:16:40,195,0,365,102
0,02-05-2022 19:16:40,387,68,206,111
0,02-05-2022 19:16:40,466,100,267,70
0,02-05-2022 19:16:40,166,470,4,271
0,02-05-2022 19:16:40,215,440,256,237
0,02-05-2022 19:16:40,246,210,275,242
0,02-05-2022 19:16:40,455,190,412,398
0,02-05-2022 19:16:40,144,369,420,318
0,02-05-2022 19:16:40,257,39,182,195
0,02-05-2022 19:16:40,320,458,39,13
0,02-05-2022 19:16:40,447,493,251,421
0,02-05-2022 19:16:40,250,425,42,224
0,02-05-2022 19:16:40,105,185,17,4
0,02-05-2022 19:16:40,403,125,295,368
0,02-05-2022 19:16:40,40,350,253,366
0,02-05-2022 19:16:40,281,31,354,112
0,02-05-2022 19:16:40,181,31,381,99
0,02-05-2022 19:16:40,372,414,292,283
0,02-05-2022 19:16:40,400,207,386,73
0,02-05-2022 19:16:40,171,136,171,449
0,02-05-2022 19:16:40,279,435,476,160
0,02-05-2022 19:16:40,34,28,461,63
0,02-05-2022 19:16:40,15,478,247,82
0,02-05-2022 19:16:40,251,89,50,453
0,02-05-2022 19:16:40,129,108,278,392
0,02-05-2022 19:16:40,58,397,446,132
0,02-05-2022 19:16:40,2,37,348,39
0,02-05-2022 19:16:40,5,202,58,72
0,02-05-2022 19:16:40,48,139,496,293
0,02-05-2022 19:16:40,113,286,275,494
0,02-05-2022 19:16:40,200,157,420,339
0,02-05-2022 19:16:40,353,88,379,15
0,02-05-2022 19:16:40,47,287,324,364
0,02-05-2022 19:16:40,313,461,396,185
0,02-05-2022 19:16:40,270,469,168,88
0,02-05-2022 19:16:40,289,483,11,107
0,02-05-2022 19:16:40,323,474,130,345
0,02-05-2022 19:16:40,347,257,473,457
0,02-05-2022 19:16:40,152,442,318,435
0,02-05-2022 19:16:40,220,270,222,105
0,02-05-2022 19:16:40,414,454,63,481
0,02-05-2022 19:16:40,166,361,482,469
0,02-05-2022 19:16:40,422,248,489,462
0,02-05-2022 19:16:40,302,151,499,444
0,02-05-2022 19:16:40,202,126,489,187
0,02-05-2022 19:16:40,12,255,22,426
0,02-05-2022 19:16:40,260,402,341,210
0,02-05-2022 19:16:40,444,355,94,124
0,02-05-2022 19:16:40,39,140,116,470
0,02-05-2022 19:16:40,444,131,115,417
0,02-05-2022 19:16:40,18,246,347,29
0,02-05-2022 19:16:40,478,466,330,169
0,02-05-2022 19:16:40,179,375,199,329
0,02-05-2022 19:16:40,246,105,66,264
0,02-05-2022 19:16:40,131,293,337,228
0,02-05-2022 19:16:40,397,84,205,315
0,02-05-2022 19:16:40,218,239,44,283
0,02-05-2022 19:16:40,120,400,127,417
0,02-05-2022 19:16:40,37,87,463,306
0,02-05-2022 19:16:40,198,384,133,49
0,02-05-2022 19:16:40,449,372,226,130
0,02-05-2022 19:16:40,422,476,202,121
0,02-05-2022 19:16:40,20,320,376,339
0,02-05-2022 19:16:40,483,286,263,402
0,02-05-2022 19:16:40,345,263,467,53
0,02-05-2022 19:16:40,476,26,436,348
0,02-05-2022 19:16:40,365,145,408,38
0,02-05-2022 19:16:40,159,251,48,345
0,02-05-2022 19:16:40,73,330,27,358
0,02-05-2022 19:16:40,238,426,167,21
0,02-05-2022 19:16:40,96,370,261,136
0,02-05-2022 19:16:40,252,236,361,479
0,02-05-2022 19:16:40,487,245,8,413
0,02-05-2022 19:16:40,154,13,167,198
0,02-05-2022 19:16:40,194,486,340,168
0,02-05-2022 19:16:40,421,49,456,383
0,02-05-2022 19:16:40,484,485,425,91
0,02-05-2022 19:16:40,140,184,451,249
0,02-05-2022 19:16:40,454,107,143,403
0,02-05-2022 19:16:40,99,402,71,128
0,02-05-2022 19:16:40,361,170,462,130
0,02-05-2022 19:16:40,49,195,85,328
0,02-05-2022 19:16:40,347,427,60,2
0,02-05-2022 19:16:40,182,238,269,459
0,02-05-2022 19:16:40,211,328,268,120
0,02-05-2022 19:16:40,233,92,34,66
0,02-05-2022 19:16:40,48,496,204,89
0,02-05-2022 19:16:40,98,123,291,132
0,02-05-2022 19:16:40,100,292,339,290
